FuelType,TotalFuelConsumption,NetGeneration
Wind,0,"143,354"
Wind,0,"162,132"
Wind,0,"395,798"
Wind,0,"135,173"
Wind,0,"98,015"
Wind,0,"154,176"
Wind,0,"407,961"
Wind,0,"230,112"
Wind,0,"1,468,562"
Petroleum,0,"4,139"
Petroleum,"160,987","64,283"
Biomass,8,7
Biomass,"17,110","4,971"
Biomass,"300,368","8,822"
Biomass,"944,428","35,772"
Biomass,"89,364",956
Coal,"1,533,203","3,122,482"
Coal,"315,182","731,600"
Coal,"861,239","1,639,057"
Coal,"1,516,188","3,225,460"
Coal,"370,948","644,842"
Coal,0,0
Coal,0,0
Coal,"378,642","631,269"
Coal,"217,917","166,286"
Petroleum,0,0
Petroleum,0,0
Petroleum,"2,807","1,469"
Petroleum,934,513
Petroleum,247,142
Petroleum,"2,261","1,222"
Petroleum,0,0
Petroleum,57,7
Petroleum,"1,377",700
Petroleum,0,0
Petroleum,"15,497","6,145"
Petroleum,"4,049","2,270"
Petroleum,0,0
Petroleum,0,0
Petroleum,"6,847",5
Hydro,"221,858","-79,349"
Hydro,0,"212,416"
Hydro,"33,490",629
Hydro,"249,784","-29,938"
Hydro,0,"1,678,341"
Hydro,0,"167,459"
Gas,"980,773","87,690"
Gas,"750,658","69,532"
Gas,"20,083","1,253"
Gas,"37,651","2,756"
Gas,"89,997",798
Gas,"69,975","6,322"
Gas,"27,086","2,731"
Gas,"88,792","9,465"
Gas,"965,901","1,254,512"
Gas,"28,638,664","2,490,426"
Gas,"2,011,511","189,985"
Gas,"163,848","9,876"
Gas,"362,852","29,648"
Gas,"50,821","3,878"
Gas,"312,686","148,200"
Gas,"7,109,970","733,418"
Gas,0,307
Gas,"195,978","2,786"
Gas,"4,094,400","410,747"
Gas,"45,687","60,076"
Gas,"2,640,045","242,614"
Gas,"190,541","655,269"
Gas,"13,350,799","1,245,469"
Gas,"4,577,678","431,040"
Gas,"4,761,356","418,662"
Gas,"3,182,175","1,455,361"
Gas,"22,342,098","2,054,083"
Gas,"9,739,928","944,044"
Gas,"34,420","5,899"
Gas,0,0
Gas,"96,453","11,832"
Gas,"934,036","98,004"
Gas,"16,825","1,840"
Gas,"280,544","25,242"
Gas,"244,220","29,636"
Gas,"2,785,734","355,594"
Gas,"184,653","51,182"
Gas,"2,024,799","146,555"
Gas,"793,653","83,701"
Gas,"504,669","13,457"
Gas,"348,068","18,472"
Gas,0,0
Gas,0,0
Petroleum,41,10
Petroleum,0,0
Solar,0,"16,530"
Coal,0,0
Coal,"2,870,770","4,635,487"
Coal,"220,820","374,033"
Coal,"107,389","198,048"
Coal,0,0
Coal,"4,695,209","9,415,437"
Coal,"1,324,186","2,090,613"
Coal,"1,333,960","2,352,401"
Coal,"959,694","1,587,666"
Coal,"543,318","826,409"
Other,0,"33,633"
Wind,0,"43,394"
Wind,0,"242,230"
Wind,0,"913,282"
Wind,0,"640,107"
Wind,0,"612,446"
Wind,0,"15,218"
Wind,0,"475,455"
Petroleum,"8,629","2,701"
Petroleum,"3,336",369
Biomass,"566,676","269,316"
Biomass,"496,234","224,566"
Biomass,0,0
Biomass,"444,986","15,410"
Biomass,"469,055","242,280"
Biomass,"8,107","2,230"
Coal,0,0
Coal,0,0
Coal,"642,674","1,458,558"
Coal,0,0
Petroleum,0,0
Petroleum,"1,170",613
Petroleum,438,180
Petroleum,287,58
Petroleum,"1,902",909
Petroleum,0,0
Petroleum,0,0
Petroleum,"7,968","2,629"
Petroleum,"3,459","-5,541"
Petroleum,"2,866","1,237"
Petroleum,"3,861","2,014"
Petroleum,"2,400","1,832"
Petroleum,"7,827","5,917"
Petroleum,597,262
Petroleum,"1,571",929
Petroleum,"5,331","2,816"
Petroleum,"6,677","1,871"
Petroleum,0,0
Petroleum,"1,230",564
Petroleum,0,0
Petroleum,277,119
Hydro,"11,380","5,385"
Hydro,0,"51,539"
Hydro,0,"571,584"
Petroleum,0,0
Petroleum,443,90
Petroleum,942,368
Petroleum,0,0
Petroleum,"19,249","9,286"
Petroleum,"3,885","1,646"
Petroleum,0,0
Petroleum,0,0
Petroleum,"8,467","3,449"
Other,"188,894","211,613"
Other,"165,414","176,444"
Other,"361,921","182,531"
Gas,"2,843",148
Gas,"92,341","7,101"
Gas,"1,043,309","90,279"
Gas,0,0
Gas,"29,949","2,484"
Gas,0,"906,653"
Gas,"18,701,269","1,712,572"
Gas,"25,967,150","3,572,333"
Gas,"19,531,105","2,663,652"
Gas,"1,124,843","108,334"
Gas,0,0
Gas,0,0
Gas,"68,324","27,384"
Gas,"4,215,815","302,774"
Gas,"301,118","24,162"
Gas,"292,621","7,205"
Gas,"530,585","36,479"
Gas,"1,650,130","124,722"
Gas,"3,010,373","91,913"
Nuclear,0,"6,239,168"
Nuclear,0,"10,418,219"
Other,0,0
Other,0,"13,237"
Petroleum,0,0
Petroleum,"51,830","25,647"
Petroleum,"65,954","36,013"
Petroleum,"110,503","60,066"
Petroleum,"18,962","9,065"
Petroleum,"242,533","121,116"
Petroleum,"30,968","5,012"
Coal,"553,425","994,940"
Other,"68,556","128,696"
Petroleum,659,183
Petroleum,"51,103","24,710"
Petroleum,"34,025","10,789"
Biomass,"2,304,618","84,936"
Biomass,0,0
Biomass,"1,195,135","53,365"
Coal,"219,489","441,242"
Coal,"1,072,311","2,296,540"
Coal,0,0
Coal,"54,340","94,995"
Coal,"77,192","57,878"
Petroleum,"8,174","3,657"
Petroleum,"1,409",494
Petroleum,"52,755","26,793"
Petroleum,0,"7,999"
Petroleum,"41,512","19,028"
Petroleum,"257,529","116,395"
Petroleum,"253,917","38,973"
Petroleum,897,531
Petroleum,207,103
Petroleum,"2,279",992
Petroleum,"2,172","1,029"
Petroleum,"1,027",658
Petroleum,"9,672","4,522"
Petroleum,"1,585",121
Petroleum,0,0
Petroleum,0,0
Gas,0,0
Gas,"149,810","12,086"
Gas,0,"229,615"
Gas,"10,473,763","1,043,844"
Gas,"101,062","7,128"
Gas,"1,139,102","46,530"
Gas,"154,142","15,171"
Gas,"15,679","2,258"
Gas,"123,850","13,923"
Gas,"218,523","70,575"
Gas,"10,127",0
Gas,"165,311","4,609"
Gas,"7,040,515","146,900"
Gas,"9,194,766","80,237"
Gas,"785,904","9,936"
Gas,"1,057,360","3,962"
Other,"900,814","5,877"
Other,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"72,606","40,200"
Petroleum,0,0
Petroleum,"6,312","3,527"
Petroleum,"16,639","3,752"
Coal,"12,789","20,255"
Biomass,"1,579,197","84,404"
Biomass,"582,172","159,320"
Biomass,0,0
Biomass,"232,210","99,778"
Biomass,"184,495","78,348"
Biomass,"679,437","199,161"
Biomass,"256,310","61,198"
Biomass,"3,021",830
Biomass,"420,644","207,813"
Biomass,"886,628","262,194"
Biomass,0,0
